atom,x,y,z
C,13.56,0,0
C,13.4857,1.4174,0
C,12.8963,4.1903,0
C,12.3877,5.5153,0
C,10.9703,7.9704,0
C,10.077,9.0734,0
C,7.9704,10.9703,0
C,6.78,11.7433,0
C,4.1903,12.8963,0
C,2.8193,13.2637,0
C,0,13.56,0
C,-1.4174,13.4857,0
C,-4.1903,12.8963,0
C,-5.5153,12.3877,0
C,-7.9704,10.9703,0
C,-9.0734,10.077,0
C,-10.9703,7.9704,0
C,-11.7433,6.78,0
C,-12.8963,4.1903,0
C,-13.2637,2.8193,0
C,-13.56,0,0
C,-13.4857,-1.4174,0
C,-12.8963,-4.1903,0
C,-12.3877,-5.5153,0
C,-10.9703,-7.9704,0
C,-10.077,-9.0734,0
C,-7.9704,-10.9703,0
C,-6.78,-11.7433,0
C,-4.1903,-12.8963,0
C,-2.8193,-13.2637,0
C,0,-13.56,0
C,1.4174,-13.4857,0
C,4.1903,-12.8963,0
C,5.5153,-12.3877,0
C,7.9704,-10.9703,0
C,9.0734,-10.077,0
C,10.9703,-7.9704,0
C,11.7433,-6.78,0
C,12.8963,-4.1903,0
C,13.2637,-2.8193,0
C,13.3931,2.1213,1.2298
C,13.098,3.5096,1.2298
C,12.082,6.1561,1.2298
C,11.3724,7.3853,1.2298
C,9.5884,9.5884,1.2298
C,8.5336,10.5381,1.2298
C,6.1561,12.082,1.2298
C,4.8595,12.6594,1.2298
C,2.1213,13.3931,1.2298
C,0.7097,13.5414,1.2298
C,-2.1213,13.3931,1.2298
C,-3.5096,13.098,1.2298
C,-6.1561,12.082,1.2298
C,-7.3853,11.3724,1.2298
C,-9.5884,9.5884,1.2298
C,-10.5381,8.5336,1.2298
C,-12.082,6.1561,1.2298
C,-12.6594,4.8595,1.2298
C,-13.3931,2.1213,1.2298
C,-13.5414,0.7097,1.2298
C,-13.3931,-2.1213,1.2298
C,-13.098,-3.5096,1.2298
C,-12.082,-6.1561,1.2298
C,-11.3724,-7.3853,1.2298
C,-9.5884,-9.5884,1.2298
C,-8.5336,-10.5381,1.2298
C,-6.1561,-12.082,1.2298
C,-4.8595,-12.6594,1.2298
C,-2.1213,-13.3931,1.2298
C,-0.7097,-13.5414,1.2298
C,2.1213,-13.3931,1.2298
C,3.5096,-13.098,1.2298
C,6.1561,-12.082,1.2298
C,7.3853,-11.3724,1.2298
C,9.5884,-9.5884,1.2298
C,10.5381,-8.5336,1.2298
C,12.082,-6.1561,1.2298
C,12.6594,-4.8595,1.2298
C,13.3931,-2.1213,1.2298
C,13.5414,-0.7097,1.2298
C,12.8963,4.1903,2.4595
C,12.3877,5.5153,2.4595
C,10.9703,7.9704,2.4595
C,10.077,9.0734,2.4595
C,7.9704,10.9703,2.4595
C,6.78,11.7433,2.4595
C,4.1903,12.8963,2.4595
C,2.8193,13.2637,2.4595
C,0,13.56,2.4595
C,-1.4174,13.4857,2.4595
C,-4.1903,12.8963,2.4595
C,-5.5153,12.3877,2.4595
C,-7.9704,10.9703,2.4595
