atom,x,y,z
C,-2.459512,-12.780001,0
C,-2.459512,-8.52,0
C,-2.459512,-4.26,0
C,-2.459512,0,0
C,-2.459512,4.26,0
C,-2.459512,8.52,0
C,-2.459512,12.780001,0
C,-2.459512,17.040001,0
C,-2.459512,21.300001,0
C,-2.459512,25.560001,0
C,-2.459512,29.820002,0
C,-2.459512,34.080002,0
C,-2.459512,38.340002,0
C,0,-42.600002,0
C,0,-38.340002,0
C,0,-34.080002,0
C,0,-29.820002,0
C,0,-25.560001,0
C,0,-21.300001,0
C,0,-17.040001,0
C,0,-12.780001,0
C,0,-8.52,0
C,0,-4.26,0
C,0,0,0
C,0,4.26,0
C,0,8.52,0
C,0,12.780001,0
C,0,17.040001,0
C,0,21.300001,0
C,0,25.560001,0
C,0,29.820002,0
C,0,34.080002,0
C,0,38.340002,0
C,2.459512,-42.600002,0
C,2.459512,-38.340002,0
C,2.459512,-34.080002,0
C,2.459512,-29.820002,0
C,2.459512,-25.560001,0
C,2.459512,-21.300001,0
C,2.459512,-17.040001,0
C,2.459512,-12.780001,0
C,2.459512,-8.52,0
C,2.459512,-4.26,0
C,2.459512,0,0
C,2.459512,4.26,0
C,2.459512,8.52,0
C,2.459512,12.780001,0
C,2.459512,17.040001,0
C,2.459512,21.300001,0
C,2.459512,25.560001,0
C,2.459512,29.820002,0
C,2.459512,34.080002,0
C,2.459512,38.340002,0
C,4.919024,-42.600002,0
C,4.919024,-38.340002,0
C,4.919024,-34.080002,0
C,4.919024,-29.820002,0
C,4.919024,-25.560001,0
C,4.919024,-21.300001,0
C,4.919024,-17.040001,0
C,4.919024,-12.780001,0
C,4.919024,-8.52,0
C,4.919024,-4.26,0
C,4.919024,0,0
C,4.919024,4.26,0
C,4.919024,8.52,0
C,4.919024,12.780001,0
C,4.919024,17.040001,0
C,4.919024,21.300001,0
C,4.919024,25.560001,0
C,4.919024,29.820002,0
C,4.919024,34.080002,0
C,4.919024,38.340002,0
C,7.378536,-42.600002,0
C,7.378536,-38.340002,0
C,7.378536,-34.080002,0
C,7.378536,-29.820002,0
C,7.378536,-25.560001,0
C,7.378536,-21.300001,0
C,7.378536,-17.040001,0
C,7.378536,-12.780001,0
C,7.378536,-8.52,0
C,7.378536,-4.26,0
C,7.378536,0,0
C,7.378536,4.26,0
C,7.378536,8.52,0
C,7.378536,12.780001,0
C,7.378536,17.040001,0
C,7.378536,21.300001,0
C,7.378536,25.560001,0
C,7.378536,29.820002,0
C,7.378536,34.080002,0
C,7.378536,38.340002,0
C,9.838048,-42.600002,0
C,9.838048,-38.340002,0
C,9.838048,-34.080002,0
C,9.838048,-29.820002,0
C,9.838048,-25.560001,0
C,9.838048,-21.300001,0
C,9.838048,-17.040001,0
C,9.838048,-12.780001,0
C,9.838048,-8.52,0
C,9.838048,-4.26,0
C,9.838048,0,0
C,9.838048,4.26,0
C,9.838048,8.52,0
C,9.838048,12.780001,0
C,9.838048,17.040001,0
C,9.838048,21.300001,0
C,9.838048,25.560001,0
C,9.838048,29.820002,0
C,9.838048,34.080002,0
C,9.838048,38.340002,0
C,12.29756,-42.600002,0
C,12.29756,-38.340002,0
C,12.29756,-34.080002,0
C,12.29756,-29.820002,0
C,12.29756,-25.560001,0
C,12.29756,-21.300001,0
C,12.29756,-17.040001,0
C,12.29756,-12.780001,0
C,12.29756,-8.52,0
C,12.29756,-4.26,0
C,12.29756,0,0
C,12.29756,4.26,0
C,12.29756,8.52,0
C,12.29756,12.780001,0
C,12.29756,17.040001,0
C,12.29756,21.300001,0
C,12.29756,25.560001,0
C,12.29756,29.820002,0
C,12.29756,34.080002,0
C,12.29756,38.340002,0
C,14.757072,-42.600002,0
C,14.757072,-38.340002,0
C,14.757072,-34.080002,0
C,14.757072,-29.820002,0
C,14.757072,-25.560001,0
C,14.757072,-21.300001,0
C,14.757072,-17.040001,0
C,14.757072,-12.780001,0
C,14.757072,-8.52,0
C,14.757072,-4.26,0
C,14.757072,0,0
C,14.757072,4.26,0
C,14.757072,8.52,0
C,14.757072,12.780001,0
C,14.757072,17.040001,0
C,14.757072,21.300001,0
C,14.757072,25.560001,0
C,14.757072,29.820002,0
C,14.757072,34.080002,0
C,14.757072,38.340002,0
C,17.216584,-42.600002,0
C,17.216584,-38.340002,0
C,17.216584,-34.080002,0
C,17.216584,-29.820002,0
C,17.216584,-25.560001,0
C,17.216584,-21.300001,0
C,17.216584,-17.040001,0
C,17.216584,-12.780001,0
C,17.216584,-8.52,0
C,17.216584,-4.26,0
C,17.216584,0,0
C,17.216584,4.26,0
C,17.216584,8.52,0
C,17.216584,12.780001,0
C,17.216584,17.040001,0
C,17.216584,21.300001,0
C,17.216584,25.560001,0
C,17.216584,29.820002,0
C,17.216584,34.080002,0
C,17.216584,38.340002,0
C,19.676096,-42.600002,0
C,19.676096,-38.340002,0
C,19.676096,-34.080002,0
C,19.676096,-29.820002,0
C,19.676096,-25.560001,0
C,19.676096,-21.300001,0
C,19.676096,-17.040001,0
C,19.676096,-12.780001,0
C,19.676096,-8.52,0
C,19.676096,-4.26,0
C,19.676096,0,0
C,19.676096,4.26,0
C,19.676096,8.52,0
C,19.676096,12.780001,0
C,19.676096,17.040001,0
C,19.676096,21.300001,0
C,19.676096,25.560001,0
